**** BEGIN LOGGING AT Sun Feb 25 00:00:00 2018

Feb 25 00:38:21 <afireinside>	I'm about to loose control and I think I LLIKE IT
Feb 25 00:38:23 <hyperblitzer190>	xD big meme boys
Feb 25 00:38:25 <dreampiece>	OWLWidowmaker
Feb 25 00:38:30 <afireinside>	I'm so ...
Feb 25 00:38:32 <afireinside>	scared...
Feb 25 00:38:35 <steepir>	Guys, if I send the cheers now, I'll get the skin on Tracer later?
Feb 25 00:38:38 <kittystarrr>	does anyone know whenthe rerun starts
Feb 25 00:38:42 <afireinside>	hold me ZacH Morris
Feb 25 00:38:43 <hyperblitzer190>	????
Feb 25 00:38:52 <killerbaenana>	o
Feb 25 00:39:00 <afireinside>	@Kittystarrr u really wanna know?
Feb 25 00:39:01 <hyperblitzer190>	Say herro if you hate hanzo mains
Feb 25 00:39:02 <sheykypwnz>	When is the rerun?
Feb 25 00:39:06 <tomng777>	you get token watching rerun?
Feb 25 00:39:14 <killerbaenana>	no
Feb 25 00:39:15 *	jtv removes channel operator status from meka
Feb 25 00:39:16 <afireinside>	yes and no
Feb 25 00:39:18 <ieth1ks>	do i have to cheer to get tge loot?
Feb 25 00:39:20 <ansonx10>	You're not supposed to, but I have
Feb 25 00:39:22 <afireinside>	mostly no
Feb 25 00:39:25 <ansonx10>	yes
Feb 25 00:39:26 <bigbiker05>	i like you
Feb 25 00:39:34 <afireinside>	I like you
Feb 25 00:39:41 <ieth1ks>	eth1ksDONATION eth1ksDONATION eth1ksDONATION
Feb 25 00:39:41 <afireinside>	chat I'm in like with you
Feb 25 00:39:41 <killerbaenana>	calvinGOCHU
Feb 25 00:39:42 <offeredtooth204>	yur mum gay lol
Feb 25 00:39:49 <gamenerd1212>	I like you more
Feb 25 00:40:05 <afireinside>	everyday I watch chat get off the bus
Feb 25 00:40:09 <hyperblitzer190>	I like turkey
Feb 25 00:40:10 <hyperblitzer190>	PogChamp
Feb 25 00:40:20 <killerbaenana>	calvinBUTT
Feb 25 00:40:21 <afireinside>	OWLMoira
Feb 25 00:40:21 <shaunngrui>	hi
Feb 25 00:40:21 <hyperblitzer190>	LUL
Feb 25 00:40:24 <sprockyt>	OWLMoira
Feb 25 00:40:27 <hyperblitzer190>	BibleThump
Feb 25 00:40:37 <hyperblitzer190>	monkaS
Feb 25 00:40:41 <killerbaenana>	OWLWinston
Feb 25 00:40:41 <hyperblitzer190>	xD
Feb 25 00:40:44 <hyperblitzer190>	im dumb
Feb 25 00:40:46 <hyperblitzer190>	bye bye
Feb 25 00:40:47 <ieth1ks>	eth1ksGG
Feb 25 00:41:18 <hyperblitzer190>	FrankerZ FrankerZ FrankerZ
Feb 25 00:41:28 <afireinside>	OWLMei OWLDVa OWLMoira OWLMercy = best emotes
Feb 25 00:41:50 <kattiikinz>	OWLZenyatta OWLZenyatta
Feb 25 00:41:51 <moobot>	Get League Tokens just for watching or Cheer on your favorite teams and get loot. Find out how! http://link.twitch.tv/owl-unlock-loot
Feb 25 00:42:07 <ieth1ks>	eth1ksHYPE =best emote
Feb 25 00:42:07 <bigbiker05>	MikeMikeMikeMikeMikeMikeMikeMikeMikeMikeMikeMikeMikeMikeMikeMikeMikeMikeMikeMikeMikeMike
Feb 25 00:42:08 <moobot>	No spamming allowed (BigBiker05) (warning)
Feb 25 00:42:09 <steepir>	Guys help me please, if I send the cheers now, I'll get the skin on Tracer later?
Feb 25 00:42:10 <kmgiggles>	k
Feb 25 00:42:14 <afireinside>	close 2nd OWLSymmetra and OWLWinston
Feb 25 00:42:16 <kappacop>	y no Orisa emote
Feb 25 00:42:19 <yrism>	Yeah
Feb 25 00:42:28 <yrism>	100+ for the cheer though
Feb 25 00:42:41 <oopsyoudied95>	owldal100
Feb 25 00:42:41 <ninjasnipah>	OWLOrisa
Feb 25 00:44:28 <michaelsmotorcycle>	OWLWidowmaker
Feb 25 00:44:32 <michaelsmotorcycle>	is best
Feb 25 00:44:44 <tomng777>	looks like Dallas Fuel has the largest fan base.
Feb 25 00:44:45 <michaelsmotorcycle>	i was lucky to get that first try :)
Feb 25 00:45:00 <killerbaenana>	o
Feb 25 00:45:17 <yrism>	I only have OWLBastion
Feb 25 00:45:23 <yrism>	Cri ;-;
Feb 25 00:45:25 <michaelsmotorcycle>	cuz theyre all streamers
Feb 25 00:45:44 <tomng777>	AHHH
Feb 25 00:45:51 <killerbaenana>	calvinDVA
Feb 25 00:46:03 <kmgiggles>	clockwork
Feb 25 00:46:33 <derp_blade>	@tomng777 Then Shanghai should have a decent fanbase as well
Feb 25 00:46:55 *	jtv gives channel operator status to matty
Feb 25 00:47:00 <cassettem>	Does anyone know when the replay starts? I missed the live matches
Feb 25 00:47:17 <afireinside>	@CassetteM how bad do u wanna know?
Feb 25 00:47:44 <kappacop>	I like Dallas Fuel, Houston Outlaws, Philadelphia Fusion, I only recognize SureFour and a couple other players that were streamers but I don't care about them
Feb 25 00:47:59 <afireinside>	biased
Feb 25 00:48:11 <tomng777>	Shanghai Dragon needs to reassemble. Chinese players are decent. Not sure why Shanghai Dragon can't win a single match.
Feb 25 00:48:12 <kappacop>	I mostly like those teams because of the colors and EQO
Feb 25 00:48:25 <kappacop>	EQO impressed me with Genji
Feb 25 00:48:26 <afireinside>	yea whatever helps u sleep at night
Feb 25 00:48:35 <kappacop>	Kappa
